vertex_row,dx,dy,dz,dnx,dny,dnz,wing_partition_weight,skin_node_indices,skin_node_names,skin_weights
1,0.09197286,-0.13110352,0.028232574,0.004052311,-0.011137158,-0.0040664673,0.040000010281801224,"[46, 33, 39]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Femur_R_bone_076"", ""cockatoo_Humerus_r_bone_070""]","[0.7599999904632568, 0.20000000298023224, 0.040000010281801224]"
47,-11.239387,4.482727,7.794792,-0.45015797,-0.42618316,-0.46315444,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
48,-10.696277,5.1709747,4.200859,-0.012530804,0.04151699,0.034063056,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
49,-10.37469,5.549465,4.1984825,-0.010909736,-0.21068773,0.12124613,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
50,-11.55375,5.229767,6.8147697,0.047323465,0.53673434,-0.038875133,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
51,2.6576872,-1.080658,-1.3865337,0.03913484,-0.5014453,-0.79624814,0.45544254779815674,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5445574522018433, 0.20439119637012482, 0.1757359653711319, 0.07531538605690002]"
52,0.021285057,1.8414955,-0.48868942,-0.1365101,-0.23824507,-1.0513378,0.4912244975566864,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.508775532245636, 0.2425556182861328, 0.14148400723934174, 0.10718486458063126]"
53,0.021285057,1.8414955,-0.48868942,-0.13661283,-0.23836839,-1.0514175,0.4912244975566864,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.508775532245636, 0.2425556182861328, 0.14148400723934174, 0.10718486458063126]"
54,1.4555659,-0.06522751,0.09289551,-0.14349443,-0.02983576,-0.012095496,0.3611665964126587,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6388334631919861, 0.32346147298812866, 0.02450832538306713, 0.013196797110140324]"
55,2.6576872,-1.080658,-1.3865337,0.039151426,-0.5014628,-0.7962587,0.45544254779815674,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5445574522018433, 0.20439119637012482, 0.1757359653711319, 0.07531538605690002]"
64,2.1036024,-1.0206871,-0.56321144,0.36646557,-0.41125637,-0.1297937,0.37965190410614014,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.6203480958938599, 0.19550909101963043, 0.12889999151229858, 0.05524284020066261]"
102,-0.5093944,0.7861748,3.2591476,-0.34762028,-0.5281233,-0.708439,0.5999999642372131,"[39, 46, 37]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03"", ""cockatoo_Metacarpus_r_bone_072""]","[0.5399999618530273, 0.40000003576278687, 0.060000013560056686]"
103,-10.093664,5.0476837,8.5424385,-0.11156857,0.5336017,0.14037052,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
104,-9.945766,4.2779083,8.605541,-0.2347017,0.57421297,0.40337408,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
105,-9.541119,3.6665115,8.621933,-0.31639224,0.5357335,0.26539993,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
106,-10.123547,4.6915817,8.19413,-0.16695905,0.5479844,0.06029981,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.949999988079071, 0.050000011920928955]"
323,1.5694513,0.57061386,0.5844593,0.27735576,0.106774986,-0.18558303,0.3871959447860718,"[46, 39, 37, 38]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.6128039956092834, 0.285573273897171, 0.06605473905801773, 0.03556794300675392]"
324,3.096198,1.4020424,-0.06727791,0.698421,0.20207065,0.5611464,0.5340137481689453,"[46, 39, 38, 37]","[""cockatoo_Scapula_bone_03"", ""cockatoo_Humerus_r_bone_070"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.4659862816333771, 0.32877710461616516, 0.11288011074066162, 0.09235650300979614]"
325,4.168467,2.9641342,0.28185272,-0.12614559,0.13315463,0.4897523,0.6389638185501099,"[39, 46, 38, 37]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.3994339406490326, 0.3610362410545349, 0.13174141943454742, 0.10778841376304626]"
326,3.2820945,2.3329659,0.5552635,-0.049196452,0.21688813,0.3941052,0.5982304811477661,"[39, 46, 38, 37]","[""cockatoo_Humerus_r_bone_070"", ""cockatoo_Scapula_bone_03"", ""cockatoo_Ulna_r_bone_071"", ""cockatoo_Metacarpus_r_bone_072""]","[0.40813329815864563, 0.40176963806152344, 0.10455343127250671, 0.08554372936487198]"
327,-10.3838005,3.6120186,8.607021,-0.22442293,0.43414792,-0.008074462,1.0,[37],"[""cockatoo_Metacarpus_r_bone_072""]",[1.0]
328,-11.71838,3.7428665,17.164719,-0.117343366,0.25559142,-0.16650006,1.0,"[37, 38]","[""cockatoo_Metacarpus_r_bone_072"", ""cockatoo_Ulna_r_bone_071""]","[0.8500000238418579, 0.1499999612569809]"
