accessor,role,buffer_view,binary_offset,row_stride_bytes,payload_bytes,byte_identical,changed_bytes,source_sha256,result_sha256
0,POSITION,0,0,12,36156,False,3586,40ac01d6ec6fd8b3f2ef6d9338639d440dd5383126f4ced746e2a4bfd37a856b,ce5eed27dce85ae9d11a31c5e86feb8faa95c5b30aff994eb8419913315da557
1,NORMAL,1,36156,12,36156,False,4359,a45f83f6efd6e40e6eb1f32474b4d8a1d9e1866bbbd7719946a4e65d38cdae78,5f404a5fc37e5bd750fb211a58a7f5f3b028c4b4bd2a61eeac355d3edaa957bf
2,TEXCOORD_0,2,72312,8,24104,True,0,ba83a56ef67839aa427302de069652348002e2d9d7f8a13be6a708c684573470,ba83a56ef67839aa427302de069652348002e2d9d7f8a13be6a708c684573470
3,JOINTS_0,3,96416,4,12052,True,0,962b16cb4768170d302d23251c1d4edba761d3ce98d84581a351488d2c598ac8,962b16cb4768170d302d23251c1d4edba761d3ce98d84581a351488d2c598ac8
4,WEIGHTS_0,4,108468,16,48208,True,0,ba6ba68a5e163385a8c25cec5007a2c674b2d48de553839baea77c45402bdf65,ba6ba68a5e163385a8c25cec5007a2c674b2d48de553839baea77c45402bdf65
5,INDICES,5,156676,2,29562,True,0,8903d24b63063f069225d4171aa9c537a3beafceab4f6f1875546ab101803ee4,8903d24b63063f069225d4171aa9c537a3beafceab4f6f1875546ab101803ee4
6,INVERSE_BIND_MATRICES,9,824872,64,6464,True,0,ae6e356d1b33d10dd6c2f8d0810eea9af09963dde1ad151a711c6d778b0f7d63,ae6e356d1b33d10dd6c2f8d0810eea9af09963dde1ad151a711c6d778b0f7d63
7,ANIMATION,10,831336,4,8,True,0,b8ee10a6dc5e4f4cc96ebdae019debc6f2d6e2e5702b35507853c5bf812151ff,b8ee10a6dc5e4f4cc96ebdae019debc6f2d6e2e5702b35507853c5bf812151ff
8,ANIMATION,11,831344,12,24,True,0,41c7d54eb4604a51ad5de0f69ec93831b2b62c7e62bcb0967b5cec7d236f0c90,41c7d54eb4604a51ad5de0f69ec93831b2b62c7e62bcb0967b5cec7d236f0c90
9,ANIMATION,12,831368,16,32,True,0,a02166f406c5ba63ef17d4f8f676a80211336e1fb28bbf02be2d28f98a8a5017,a02166f406c5ba63ef17d4f8f676a80211336e1fb28bbf02be2d28f98a8a5017
10,ANIMATION,13,831400,12,24,True,0,f46913286d895f62d646314f400fc3d7a543cf34eb4ae56df87f43dc4582a36b,f46913286d895f62d646314f400fc3d7a543cf34eb4ae56df87f43dc4582a36b
11,ANIMATION,14,831424,4,2160,True,0,1170a6f15b5f2edc456283ca411a37f4d6829cf9b1a86843da503a505e4f4c3a,1170a6f15b5f2edc456283ca411a37f4d6829cf9b1a86843da503a505e4f4c3a
12,ANIMATION,15,833584,12,6480,True,0,b9c93ae78c92c35b75dbdb8f3cc8e661178f858257709dcd321a750c71c75a90,b9c93ae78c92c35b75dbdb8f3cc8e661178f858257709dcd321a750c71c75a90
13,ANIMATION,16,840064,16,8640,True,0,36e9e6f1b0267f4c29a2df678ae55a8402f6dcb0c1007c7140c7e6c24feceedc,36e9e6f1b0267f4c29a2df678ae55a8402f6dcb0c1007c7140c7e6c24feceedc
14,ANIMATION,17,848704,12,24,True,0,5bb485e1ae8e4ac3ddaa86d03be816ee7552dace53b6a770159950f0488f8064,5bb485e1ae8e4ac3ddaa86d03be816ee7552dace53b6a770159950f0488f8064
